	productid	brand	RAM_GB	HDD_GB	GHz	price	rank
425	64449	DELL	16	500	2.3	68900	28.0
426	64661	Toshiba	4	500	3.0	66900	39.0
427	64698	Microsoft	8	2000	3.2	86900	56.0
428	64700	unknown	16	500	2.5	72900	28.0
429	65256	MSI	4	2000	2.5	54900	24.0
430	65728	Apple	16	1000	3.0	137900	43.0
431	65880	DELL	4	500	3.2	83900	43.0
432	66373	HP	16	2000	3.0	82900	51.0
433	66579	DELL	16	1000	3.0	87900	47.0
434	66780	Apple	4	1000	3.2	137900	43.0
435	67462	Toshiba	16	2000	1.8	50900	23.0
436	67470	Apple	4	1000	3.2	140900	46.0
437	67528	hp	8	500	3.0	71900	43.0
438	67625	Samsung	16	500	2.3	50900	20.0
439	67670	DELL	8	500	2.5	70900	30.0
440	67833	Lenovo	16	500	3.0	58900	45.0
441	68164	Microsoft	4	2000	1.8	34900	4.0
442	68282	Samsung	8	1000	1.8	47900	17.0
443	68392	Lenovo	8	2000	2.5	44900	31.0
444	68713	Samsung	8	1000	2.5	60900	30.0
445	68713	Samsung	8	1000	2.5	60900	30.0
446	68837	Lenovo	8	2000	3.0	54900	41.0
447	68845	Lenovo	16	1000	1.8	40900	27.0
448	68867	Toshiba	4	1000	2.3	41900	14.0
449	68931	Lenovo	8	2000	2.5	45900	32.0
450	68948	hp	4	500	2.3	39900	11.0
451	69038	Asus	8	1000	1.8	46900	19.0
452	69336	HP	4	500	2.3	40900	9.0
453	69453	asus	4	2000	3.0	62900	32.0
454	69766	Acer	4	1000	2.5	56900	30.0
455	69890	Lenovo	16	2000	2.5	51900	38.0
456	69948	hp	16	500	3.0	66900	38.0
457	70078	Dell	4	1000	3.0	74900	30.0
458	70088	hp	16	1000	2.5	58900	30.0
459	70156	HP	16	2000	3.2	90900	59.0
460	70234	Lenovo	4	2000	3.2	63900	50.0
461	70366	Acer	16	1000	3.0	67900	41.0
462	70584	Asus	8	1000	2.5	60900	33.0
463	71048	Asus	8	500	3.2	78900	51.0
464	71177	HP	8	1000	3.2	84900	53.0
465	71453	MSI	8	500	2.3	52900	22.0
466	71901	asus	16	500	2.3	51900	21.0
467	71972	Dell	16	2000	1.8	70900	26.0
468	72004	DELL	8	500	3.2	97900	57.0
469	72024	Toshiba	4	2000	3.2	77900	50.0
470	72106	Acer	8	500	2.5	51900	25.0
471	72125	Toshiba	4	500	3.2	68900	41.0
472	72168	Microsoft	16	2000	2.5	69900	39.0
473	72379	Toshiba	8	500	2.5	60900	33.0
474	72583	Toshiba	16	500	1.8	40900	13.0
475	72664	MSI	16	2000	1.8	51900	21.0
476	72728	Samsung	4	500	3.2	70900	40.0
477	72843	asus	4	2000	2.3	48900	18.0
478	73068	Apple	4	2000	1.8	105900	11.0
479	73229	Microsoft	16	500	3.2	79900	49.0
480	73332	Lenovo	4	500	2.3	17900	4.0
481	73660	Apple	16	500	2.5	128900	34.0
482	73718	Asus	16	1000	3.2	92900	64.0
483	74554	Lenovo	8	1000	1.8	26900	13.0
484	74794	Dell	8	500	1.8	59900	15.0
485	74926	Samsung	8	500	1.8	31900	1.0
486	74978	Samsung	4	500	2.5	51900	21.0
487	75029	Lenovo	16	2000	2.3	49900	36.0
488	75248	Microsoft	16	500	2.3	53900	23.0
489	75510	hp	8	500	1.8	35900	7.0
490	75913	Lenovo	16	500	3.0	50900	37.0
491	75952	DELL	16	500	3.2	99900	59.0
492	76089	Asus	8	1000	2.3	47900	20.0
493	76196	hp	16	2000	1.8	41900	13.0
494	76281	Dell	4	1000	1.8	56900	12.0
495	76349	Asus	4	500	2.3	41900	14.0
496	76360	Microsoft	16	2000	3.0	79900	49.0
497	76398	asus	4	2000	3.2	74900	44.0
498	76512	Lenovo	16	2000	3.0	68900	55.0
499	76660	Apple	8	2000	2.3	118900	24.0
500	76797	unknown	8	2000	1.8	47900	8.0
501	76943	Apple	4	2000	2.5	127900	33.0
502	77276	MSI	16	1000	3.2	81900	51.0
503	77672	Toshiba	4	2000	2.3	55900	28.0
504	78092	Microsoft	8	500	2.3	44900	14.0
505	78174	MSI	4	2000	2.3	48900	18.0
506	78403	hp	16	500	3.0	68900	40.0
507	78849	Lenovo	8	2000	2.5	47900	34.0
508	79235	HP	16	1000	1.8	56900	25.0
509	79495	DELL	4	1000	2.3	54900	14.0
510	79969	Asus	16	500	3.2	85900	58.0
511	80188	Acer	16	2000	3.0	78900	52.0
512	80213	Dell	4	500	1.8	48900	4.0
513	80269	Toshiba	16	2000	3.0	75900	48.0
514	80269	Toshiba	16	2000	3.0	75900	48.0
515	80280	Lenovo	4	1000	1.8	28900	15.0
516	80430	asus	8	1000	1.8	42900	12.0
517	80655	Samsung	4	1000	2.3	44900	14.0
518	80912	DELL	8	2000	3.2	98900	58.0
519	81079	Microsoft	16	2000	2.3	57900	27.0
520	81205	DELL	8	2000	3.2	105900	65.0
521	81231	hp	4	500	3.2	78900	50.0
522	81658	Apple	16	1000	2.3	131900	37.0
523	81712	HP	16	1000	2.5	66900	35.0
524	82059	DELL	16	2000	3.0	91900	51.0
525	82127	Acer	8	1000	2.3	47900	21.0
526	82281	Microsoft	16	500	2.5	61900	31.0
527	82333	DELL	4	500	3.2	81900	41.0
528	82607	DELL	16	1000	3.0	94900	54.0
529	82722	Microsoft	8	1000	2.3	54900	24.0
530	82939	Apple	16	1000	1.8	114900	20.0
531	83220	Dell	16	500	3.2	97900	53.0
532	83247	Microsoft	4	2000	3.2	77900	47.0
533	83255	HP	4	2000	1.8	39900	8.0
534	83331	Samsung	4	500	3.0	65900	35.0
535	83634	asus	16	1000	3.0	74900	44.0
536	83709	Dell	8	2000	1.8	65900	21.0
537	83931	MSI	4	2000	1.8	44900	14.0
538	84093	Samsung	4	2000	2.5	55900	25.0
539	84121	Acer	8	2000	2.5	67900	41.0
540	84211	Lenovo	4	1000	2.3	29900	16.0
541	84305	Microsoft	8	2000	3.2	78900	48.0
542	84409	Apple	16	2000	3.2	148900	54.0
543	84728	Acer	8	500	1.8	41900	15.0
544	84908	HP	4	500	2.5	53900	22.0
545	84935	Microsoft	8	1000	1.8	39900	9.0
546	85062	MSI	16	2000	2.5	70900	40.0
547	85115	Dell	16	1000	3.2	97900	53.0
548	85309	Asus	16	1000	1.8	45900	18.0
549	85392	Acer	16	2000	3.0	76900	50.0
550	85528	asus	8	2000	3.0	78900	48.0
551	85590	Asus	4	2000	1.8	41900	14.0
552	85789	Microsoft	8	500	1.8	37900	7.0
553	86051	DELL	8	2000	2.3	70900	30.0
554	86111	Microsoft	8	2000	3.0	77900	47.0
555	86150	Toshiba	4	500	2.5	51900	24.0
556	86177	Asus	8	1000	2.5	61900	34.0
557	86271	MSI	4	2000	3.2	80900	50.0
