	productid	brand	RAM_GB	HDD_GB	GHz	price	MEDIAN
226	34805	Dell	8	1000	2.3	60900	2.5
227	34902	asus	4	2000	2.3	55900	2.5
228	35157	hp	16	1000	3.0	78900	2.5
229	35187	asus	8	500	2.3	50900	2.5
230	35199	DELL	8	1000	2.3	71900	2.5
231	35199	DELL	8	1000	2.3	71900	2.5
232	35249	hp	4	2000	1.8	41900	2.5
233	35313	Lenovo	4	2000	2.3	40900	2.5
234	35402	Lenovo	16	500	3.0	59900	2.5
235	35483	asus	16	2000	3.0	74900	2.5
236	35605	Dell	4	1000	2.3	60900	2.5
237	35740	Dell	16	2000	1.8	65900	2.5
238	35764	Dell	16	2000	1.8	67900	2.5
239	36042	Asus	4	2000	3.2	75900	2.5
240	36443	Apple	8	500	2.5	112900	2.5
241	36698	Lenovo	4	2000	2.5	48900	2.5
242	36704	asus	16	1000	2.3	49900	2.5
243	36709	Acer	16	1000	3.2	83900	2.5
244	37069	Microsoft	16	2000	3.2	95900	2.5
245	37097	DELL	4	2000	3.2	83900	2.5
246	37836	Samsung	4	500	3.2	64900	2.5
247	37893	Dell	16	500	1.8	58900	2.5
248	37893	Dell	16	500	1.8	58900	2.5
249	38087	Lenovo	16	2000	3.0	65900	2.5
250	38188	Asus	16	1000	2.3	57900	2.5
251	38351	HP	16	500	1.8	39900	2.5
252	38693	Lenovo	8	1000	2.3	37900	2.5
253	38703	Lenovo	8	2000	3.0	58900	2.5
254	38728	Samsung	8	1000	3.0	70900	2.5
255	38773	HP	4	2000	3.0	61900	2.5
256	38861	hp	16	500	2.3	59900	2.5
257	39224	Dell	8	1000	1.8	61900	2.5
258	39229	Asus	8	2000	1.8	48900	2.5
259	39421	hp	16	2000	1.8	53900	2.5
260	39448	MSI	4	500	2.3	40900	2.5
261	39482	Microsoft	16	2000	3.2	84900	2.5
262	39597	Dell	4	500	2.3	55900	2.5
263	39629	Apple	16	1000	2.5	132900	2.5
264	39919	DELL	4	2000	2.3	59900	2.5
265	40118	Microsoft	8	500	1.8	47900	2.5
266	40248	Microsoft	16	2000	2.5	73900	2.5
267	40412	HP	4	1000	2.3	50900	2.5
268	40450	MSI	16	1000	3.2	82900	2.5
269	40973	Apple	4	500	2.3	104900	2.5
270	41469	Asus	8	500	3.2	80900	2.5
271	41490	DELL	16	500	3.2	96900	2.5
272	41640	DELL	8	1000	2.5	70900	2.5
273	41776	DELL	8	500	3.2	87900	2.5
274	41916	Dell	4	500	1.8	47900	2.5
275	42158	HP	4	500	3.2	72900	2.5
276	42257	HP	16	2000	1.8	51900	2.5
277	42308	HP	16	500	3.0	77900	2.5
278	42461	Dell	8	500	1.8	58900	2.5
279	42575	HP	8	1000	1.8	41900	2.5
280	42801	Lenovo	16	2000	3.0	66900	2.5
281	42825	HP	16	1000	3.2	83900	2.5
282	42837	HP	8	1000	3.2	78900	2.5
283	42900	MSI	16	1000	2.3	51900	2.5
284	43418	Apple	4	2000	3.0	135900	2.5
285	43534	Toshiba	16	1000	3.0	70900	2.5
286	43595	DELL	8	500	2.5	69900	2.5
287	43827	DELL	8	1000	1.8	57900	2.5
288	43948	Toshiba	8	1000	3.2	84900	2.5
289	44197	MSI	4	500	2.3	39900	2.5
290	44203	Microsoft	16	1000	2.3	60900	2.5
291	44369	MSI	4	500	1.8	29900	2.5
292	44534	asus	8	2000	1.8	44900	2.5
293	44547	HP	4	1000	3.2	73900	2.5
294	44648	unknown	16	2000	3.0	82900	2.5
295	45025	Samsung	8	500	3.0	66900	2.5
296	45026	asus	16	1000	3.2	79900	2.5
297	45334	Toshiba	8	2000	3.2	83900	2.5
298	45485	Lenovo	4	1000	3.2	54900	2.5
299	45641	Apple	8	1000	3.2	142900	2.5
300	45998	Samsung	8	2000	1.8	46900	2.5
301	46072	asus	16	2000	2.5	63900	2.5
302	46074	Asus	4	1000	3.0	67900	2.5
303	46186	HP	4	500	2.3	42900	2.5
304	46372	HP	8	1000	3.0	68900	2.5
305	46632	Acer	8	2000	1.8	48900	2.5
306	46640	Microsoft	8	1000	3.0	64900	2.5
307	46682	Dell	16	2000	2.5	86900	2.5
308	46714	Microsoft	4	2000	3.2	75900	2.5
309	47129	Apple	16	2000	2.3	130900	2.5
310	47311	Dell	16	500	2.5	78900	2.5
311	47766	Dell	4	2000	2.3	71900	2.5
312	48246	DELL	8	1000	1.8	57900	2.5
313	48287	MSI	4	500	2.3	43900	2.5
314	48379	HP	16	500	3.0	78900	2.5
315	48414	HP	4	1000	2.3	41900	2.5
316	48428	hp	4	500	3.2	66900	2.5
317	48776	HP	16	500	1.8	37900	2.5
318	49165	Dell	8	500	3.2	93900	2.5
319	49209	Apple	16	500	2.5	125900	2.5
320	49290	asus	16	1000	1.8	45900	2.5
321	49726	hp	4	1000	3.0	61900	2.5
322	49814	hp	8	1000	1.8	46900	2.5
323	50026	hp	16	2000	1.8	59900	2.5
324	50182	asus	8	500	1.8	40900	2.5
325	50276	HP	16	2000	3.0	82900	2.5
326	50292	Acer	8	2000	3.2	85900	2.5
327	50318	Lenovo	16	500	1.8	37900	2.5
328	50423	Dell	16	500	2.3	69900	2.5
329	50593	asus	8	500	1.8	39900	2.5
330	50672	MSI	16	1000	3.0	77900	2.5
331	50854	Dell	8	2000	2.3	64900	2.5
332	50909	Apple	16	2000	3.0	153900	2.5
333	51062	DELL	16	1000	1.8	66900	2.5
334	51081	hp	16	500	2.5	57900	2.5
335	51122	Toshiba	16	500	1.8	45900	2.5
336	51131	HP	8	2000	2.3	55900	2.5
337	51205	Dell	16	1000	2.3	76900	2.5
338	51332	Apple	16	500	3.2	144900	2.5
339	51569	MSI	16	2000	1.8	58900	2.5
340	51714	Acer	8	500	2.3	51900	2.5
341	51843	Acer	16	500	2.5	56900	2.5
342	51929	MSI	4	2000	3.2	78900	2.5
343	51955	Lenovo	4	2000	2.3	35900	2.5
344	51989	asus	4	1000	2.5	57900	2.5
345	52315	DELL	4	1000	2.3	57900	2.5
346	52417	MSI	16	2000	2.5	67900	2.5
347	52471	hp	8	2000	3.2	79900	2.5
348	52564	Dell	16	2000	3.2	101900	2.5
349	52580	Lenovo	8	1000	3.2	65900	2.5
350	52628	Asus	8	500	1.8	41900	2.5
351	52749	Asus	16	1000	2.5	62900	2.5
352	52878	DELL	16	1000	3.2	102900	2.5
353	52925	Apple	16	2000	2.5	130900	2.5
354	53215	MSI	4	1000	2.5	59900	2.5
355	53224	Dell	8	500	3.0	90900	2.5
356	53807	Dell	4	500	1.8	49900	2.5
357	53836	asus	8	2000	3.0	72900	2.5
358	53972	MSI	16	2000	2.3	64900	2.5
359	54459	DELL	16	500	3.0	87900	2.5
360	54972	HP	16	500	2.3	60900	2.5
361	55149	Apple	16	500	1.8	110900	2.5
362	55199	Lenovo	8	2000	3.0	57900	2.5
363	55397	MSI	16	2000	2.5	75900	2.5
364	55413	asus	16	2000	1.8	52900	2.5
365	55483	Microsoft	8	2000	1.8	46900	2.5
366	55539	Lenovo	16	500	3.2	71900	2.5
367	55586	Toshiba	4	2000	2.3	61900	2.5
368	55710	HP	8	1000	1.8	40900	2.5
369	55749	DELL	16	1000	2.5	78900	2.5
370	55898	Dell	8	500	1.8	48900	2.5
371	56121	Toshiba	16	2000	2.3	63900	2.5
372	56291	Apple	16	2000	2.5	133900	2.5
373	56481	Toshiba	16	2000	3.2	95900	2.5
374	56495	Apple	8	500	3.2	140900	2.5
375	56520	Toshiba	16	500	3.0	70900	2.5
376	56608	Dell	8	2000	2.5	76900	2.5
377	56623	MSI	4	500	1.8	29900	2.5
378	56934	Microsoft	16	2000	1.8	49900	2.5
379	57258	MSI	8	500	3.0	64900	2.5
380	57570	Dell	4	500	3.2	82900	2.5
381	57898	Acer	4	500	2.5	48900	2.5
382	58067	Microsoft	4	1000	2.3	42900	2.5
383	58121	Lenovo	8	2000	2.3	36900	2.5
384	58256	MSI	16	1000	2.3	49900	2.5
385	58368	Microsoft	4	500	3.2	68900	2.5
386	58651	Lenovo	16	1000	3.2	67900	2.5
387	58704	hp	4	2000	2.3	53900	2.5
388	58715	asus	16	1000	3.2	79900	2.5
389	58722	Asus	16	500	3.0	66900	2.5
390	58758	Microsoft	4	500	3.0	59900	2.5
391	58776	DELL	4	500	3.2	84900	2.5
392	59297	Acer	8	500	3.0	67900	2.5
393	59469	hp	16	500	3.0	67900	2.5
394	60083	asus	16	2000	1.8	60900	2.5
395	60127	asus	4	2000	3.2	77900	2.5
396	60236	HP	16	1000	3.2	92900	2.5
397	60299	Asus	4	1000	3.2	75900	2.5
398	60489	Microsoft	8	1000	3.2	79900	2.5
399	60529	Dell	4	500	2.5	67900	2.5
400	61103	HP	16	500	2.5	52900	2.5
401	61272	asus	16	500	3.2	79900	2.5
402	61304	Dell	4	1000	2.5	69900	2.5
403	61617	asus	16	2000	3.0	78900	2.5
404	61618	DELL	16	500	3.2	103900	2.5
405	61625	hp	4	500	2.3	43900	2.5
406	61722	Acer	16	2000	1.8	57900	2.5
407	61778	asus	4	1000	2.5	60900	2.5
408	61993	MSI	8	2000	2.3	55900	2.5
409	62054	Lenovo	8	500	2.3	31900	2.5
410	62122	asus	8	2000	3.0	75900	2.5
411	62159	DELL	8	2000	1.8	69900	2.5
412	62512	Apple	8	1000	2.3	115900	2.5
413	62562	Microsoft	8	2000	3.0	74900	2.5
414	62599	Apple	4	1000	3.2	142900	2.5
415	62612	DELL	8	2000	2.5	78900	2.5
416	62910	Asus	4	2000	2.3	50900	2.5
417	63033	Acer	16	2000	2.3	69900	2.5
418	63146	DELL	16	500	1.8	58900	2.5
419	63217	HP	8	500	1.8	50900	2.5
420	63294	HP	4	500	1.8	37900	2.5
421	63561	asus	16	2000	3.2	90900	2.5
422	64027	Dell	8	1000	2.3	67900	2.5
423	64139	Lenovo	8	2000	1.8	39900	2.5
424	64322	Samsung	4	1000	3.0	59900	2.5
425	64449	DELL	16	500	2.3	68900	2.5
426	64661	Toshiba	4	500	3.0	66900	2.5
427	64698	Microsoft	8	2000	3.2	86900	2.5
428	64700	unknown	16	500	2.5	72900	2.5
429	65256	MSI	4	2000	2.5	54900	2.5
430	65728	Apple	16	1000	3.0	137900	2.5
431	65880	DELL	4	500	3.2	83900	2.5
432	66373	HP	16	2000	3.0	82900	2.5
433	66579	DELL	16	1000	3.0	87900	2.5
434	66780	Apple	4	1000	3.2	137900	2.5
435	67462	Toshiba	16	2000	1.8	50900	2.5
436	67470	Apple	4	1000	3.2	140900	2.5
437	67528	hp	8	500	3.0	71900	2.5
438	67625	Samsung	16	500	2.3	50900	2.5
439	67670	DELL	8	500	2.5	70900	2.5
440	67833	Lenovo	16	500	3.0	58900	2.5
441	68164	Microsoft	4	2000	1.8	34900	2.5
442	68282	Samsung	8	1000	1.8	47900	2.5
443	68392	Lenovo	8	2000	2.5	44900	2.5
444	68713	Samsung	8	1000	2.5	60900	2.5
445	68713	Samsung	8	1000	2.5	60900	2.5
446	68837	Lenovo	8	2000	3.0	54900	2.5
447	68845	Lenovo	16	1000	1.8	40900	2.5
448	68867	Toshiba	4	1000	2.3	41900	2.5
449	68931	Lenovo	8	2000	2.5	45900	2.5
450	68948	hp	4	500	2.3	39900	2.5
451	69038	Asus	8	1000	1.8	46900	2.5
452	69336	HP	4	500	2.3	40900	2.5
453	69453	asus	4	2000	3.0	62900	2.5
454	69766	Acer	4	1000	2.5	56900	2.5
455	69890	Lenovo	16	2000	2.5	51900	2.5
456	69948	hp	16	500	3.0	66900	2.5
457	70078	Dell	4	1000	3.0	74900	2.5
458	70088	hp	16	1000	2.5	58900	2.5
459	70156	HP	16	2000	3.2	90900	2.5
460	70234	Lenovo	4	2000	3.2	63900	2.5
461	70366	Acer	16	1000	3.0	67900	2.5
462	70584	Asus	8	1000	2.5	60900	2.5
463	71048	Asus	8	500	3.2	78900	2.5
464	71177	HP	8	1000	3.2	84900	2.5
465	71453	MSI	8	500	2.3	52900	2.5
466	71901	asus	16	500	2.3	51900	2.5
467	71972	Dell	16	2000	1.8	70900	2.5
468	72004	DELL	8	500	3.2	97900	2.5
469	72024	Toshiba	4	2000	3.2	77900	2.5
470	72106	Acer	8	500	2.5	51900	2.5
471	72125	Toshiba	4	500	3.2	68900	2.5
472	72168	Microsoft	16	2000	2.5	69900	2.5
473	72379	Toshiba	8	500	2.5	60900	2.5
474	72583	Toshiba	16	500	1.8	40900	2.5
475	72664	MSI	16	2000	1.8	51900	2.5
476	72728	Samsung	4	500	3.2	70900	2.5
477	72843	asus	4	2000	2.3	48900	2.5
478	73068	Apple	4	2000	1.8	105900	2.5
479	73229	Microsoft	16	500	3.2	79900	2.5
480	73332	Lenovo	4	500	2.3	17900	2.5
481	73660	Apple	16	500	2.5	128900	2.5
482	73718	Asus	16	1000	3.2	92900	2.5
483	74554	Lenovo	8	1000	1.8	26900	2.5
484	74794	Dell	8	500	1.8	59900	2.5
485	74926	Samsung	8	500	1.8	31900	2.5
486	74978	Samsung	4	500	2.5	51900	2.5
487	75029	Lenovo	16	2000	2.3	49900	2.5
488	75248	Microsoft	16	500	2.3	53900	2.5
489	75510	hp	8	500	1.8	35900	2.5
490	75913	Lenovo	16	500	3.0	50900	2.5
491	75952	DELL	16	500	3.2	99900	2.5
492	76089	Asus	8	1000	2.3	47900	2.5
493	76196	hp	16	2000	1.8	41900	2.5
494	76281	Dell	4	1000	1.8	56900	2.5
495	76349	Asus	4	500	2.3	41900	2.5
496	76360	Microsoft	16	2000	3.0	79900	2.5
497	76398	asus	4	2000	3.2	74900	2.5
498	76512	Lenovo	16	2000	3.0	68900	2.5
499	76660	Apple	8	2000	2.3	118900	2.5
500	76797	unknown	8	2000	1.8	47900	2.5
501	76943	Apple	4	2000	2.5	127900	2.5
502	77276	MSI	16	1000	3.2	81900	2.5
503	77672	Toshiba	4	2000	2.3	55900	2.5
504	78092	Microsoft	8	500	2.3	44900	2.5
505	78174	MSI	4	2000	2.3	48900	2.5
506	78403	hp	16	500	3.0	68900	2.5
507	78849	Lenovo	8	2000	2.5	47900	2.5
508	79235	HP	16	1000	1.8	56900	2.5
509	79495	DELL	4	1000	2.3	54900	2.5
510	79969	Asus	16	500	3.2	85900	2.5
511	80188	Acer	16	2000	3.0	78900	2.5
512	80213	Dell	4	500	1.8	48900	2.5
513	80269	Toshiba	16	2000	3.0	75900	2.5
514	80269	Toshiba	16	2000	3.0	75900	2.5
515	80280	Lenovo	4	1000	1.8	28900	2.5
516	80430	asus	8	1000	1.8	42900	2.5
517	80655	Samsung	4	1000	2.3	44900	2.5
518	80912	DELL	8	2000	3.2	98900	2.5
519	81079	Microsoft	16	2000	2.3	57900	2.5
520	81205	DELL	8	2000	3.2	105900	2.5
521	81231	hp	4	500	3.2	78900	2.5
522	81658	Apple	16	1000	2.3	131900	2.5
523	81712	HP	16	1000	2.5	66900	2.5
524	82059	DELL	16	2000	3.0	91900	2.5
525	82127	Acer	8	1000	2.3	47900	2.5
526	82281	Microsoft	16	500	2.5	61900	2.5
527	82333	DELL	4	500	3.2	81900	2.5
528	82607	DELL	16	1000	3.0	94900	2.5
529	82722	Microsoft	8	1000	2.3	54900	2.5
530	82939	Apple	16	1000	1.8	114900	2.5
531	83220	Dell	16	500	3.2	97900	2.5
532	83247	Microsoft	4	2000	3.2	77900	2.5
533	83255	HP	4	2000	1.8	39900	2.5
534	83331	Samsung	4	500	3.0	65900	2.5
535	83634	asus	16	1000	3.0	74900	2.5
536	83709	Dell	8	2000	1.8	65900	2.5
537	83931	MSI	4	2000	1.8	44900	2.5
538	84093	Samsung	4	2000	2.5	55900	2.5
539	84121	Acer	8	2000	2.5	67900	2.5
540	84211	Lenovo	4	1000	2.3	29900	2.5
541	84305	Microsoft	8	2000	3.2	78900	2.5
542	84409	Apple	16	2000	3.2	148900	2.5
543	84728	Acer	8	500	1.8	41900	2.5
544	84908	HP	4	500	2.5	53900	2.5
545	84935	Microsoft	8	1000	1.8	39900	2.5
546	85062	MSI	16	2000	2.5	70900	2.5
547	85115	Dell	16	1000	3.2	97900	2.5
548	85309	Asus	16	1000	1.8	45900	2.5
549	85392	Acer	16	2000	3.0	76900	2.5
550	85528	asus	8	2000	3.0	78900	2.5
551	85590	Asus	4	2000	1.8	41900	2.5
552	85789	Microsoft	8	500	1.8	37900	2.5
553	86051	DELL	8	2000	2.3	70900	2.5
554	86111	Microsoft	8	2000	3.0	77900	2.5
555	86150	Toshiba	4	500	2.5	51900	2.5
556	86177	Asus	8	1000	2.5	61900	2.5
557	86271	MSI	4	2000	3.2	80900	2.5
